name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J122437.8+072310,AGN,QSO,3,0.899±0.118,0.05±0.062,0.049±0.057,0.0±0.0,0.002±0.003,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,186.15773649313087,7.386334655967068
2CXO J010244.9-214240,AGN,QSO,3,0.416±0.036,0.384±0.057,0.196±0.086,0.001±0.001,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,15.687456378528566,-21.71119012921253
2CXO J001351.5-302500,AGN,QSO,3,0.309±0.259,0.209±0.144,0.12±0.037,0.011±0.01,0.038±0.023,0.141±0.164,0.171±0.185,0.0±0.0,0.0±0.0,0.0±0.0,3.4646336447297017,-30.41675055598352
2CXO J122440.8+072203,AGN,QSO,3,0.46±0.315,0.114±0.134,0.169±0.099,0.125±0.174,0.124±0.163,0.003±0.003,0.006±0.007,0.0±0.0,0.0±0.0,0.0±0.0,186.17014926631748,7.367767852343101
2CXO J110318.7-605514,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.272±0.276,0.025±0.034,0.703±0.268,165.82801933983774,-60.92066345655397
2CXO J010229.9-492426,XB,HMXB,3,0.0±0.0,0.013±0.018,0.002±0.002,0.0±0.0,0.984±0.016,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.002,15.624648922477943,-49.40741046902464
2CXO J132536.0-430001,XB,HMXB,3,0.163±0.22,0.167±0.201,0.002±0.003,0.002±0.002,0.291±0.41,0.023±0.032,0.018±0.025,0.108±0.151,0.108±0.152,0.118±0.165,201.40030412529995,-43.0003662902
2CXO J112416.0-591202,YSO,TTau*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.004±0.006,0.0±0.0,0.0±0.0,0.178±0.209,0.697±0.219,0.12±0.148,171.0667561299624,-59.20071474352481
2CXO J010227.8-213638,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.355±0.457,0.0±0.0,0.0±0.0,0.638±0.451,0.0±0.0,0.007±0.01,15.616247517339389,-21.61070460069053
2CXO J114553.8+473645,AGN,QSO,3,0.662±0.243,0.011±0.006,0.151±0.19,0.0±0.0,0.176±0.135,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,176.47439158272573,47.61271066365811
2CXO J104553.7-595705,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.386,0.327±0.462,0.0±0.0,0.375±0.442,0.001±0.001,0.025±0.025,161.47413743900006,-59.9516360706
2CXO J131346.7+472112,AGN,AGN,3,0.329±0.29,0.346±0.345,0.257±0.221,0.068±0.094,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,198.4448984053787,47.3534127004174
2CXO J104553.6-595704,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.386,0.327±0.462,0.0±0.0,0.375±0.442,0.001±0.001,0.025±0.025,161.47374291920005,-59.9513547733
2CXO J010358.8-215149,YSO,Orion_V*,3,0.208±0.207,0.243±0.172,0.124±0.1,0.001±0.001,0.047±0.065,0.008±0.008,0.036±0.05,0.052±0.073,0.0±0.0,0.281±0.398,15.99535636269178,-21.86387613914527
2CXO J122254.1+154912,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.004±0.005,0.0±0.0,0.0±0.0,0.006±0.008,0.0±0.001,0.26±0.2,0.249±0.176,0.481±0.38,185.7255480415301,15.820096341778616
2CXO J133747.3-195812,XB,HMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.077±0.109,0.893±0.151,0.001±0.001,0.002±0.003,0.001±0.001,0.007±0.009,0.02±0.028,204.4474877366301,-19.97000368351501
2CXO J133752.4-294233,AGN,AGN,3,0.0±0.0,0.541±0.406,0.365±0.449,0.006±0.009,0.083±0.117,0.002±0.002,0.003±0.005,0.0±0.0,0.0±0.0,0.0±0.0,204.4684487541492,-29.70920453102085
2CXO J133805.5-295745,Seyfert,Seyfert_2,3,0.063±0.083,0.211±0.254,0.267±0.254,0.432±0.416,0.025±0.027,0.0±0.0,0.002±0.001,0.0±0.0,0.0±0.0,0.0±0.0,204.5231090135016,-29.96255272497317
2CXO J133952.0-314143,AGN,QSO,3,0.357±0.363,0.273±0.296,0.343±0.45,0.001±0.001,0.023±0.019,0.003±0.005,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,204.9668461004045,-31.695489462119973
2CXO J122330.7+154506,YSO,TTau*,3,0.11±0.156,0.127±0.18,0.094±0.132,0.0±0.0,0.002±0.003,0.0±0.0,0.0±0.0,0.012±0.011,0.621±0.439,0.034±0.027,185.87828786584063,15.751755365586574
2CXO J132546.6-430629,YSO,YSO,3,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.257±0.364,0.203±0.282,0.003±0.004,0.524±0.335,0.001±0.002,0.01±0.011,201.4444523128693,-43.108079457285605
2CXO J150104.0+015316,XB,HMXB,3,0.001±0.002,0.006±0.007,0.002±0.002,0.0±0.0,0.967±0.026,0.013±0.009,0.011±0.009,0.0±0.0,0.0±0.0,0.0±0.0,225.2668463372449,1.887813183445372
2CXO J150103.2+013913,Seyfert,Seyfert_1,3,0.093±0.089,0.036±0.035,0.586±0.397,0.001±0.001,0.103±0.133,0.176±0.248,0.004±0.004,0.0±0.0,0.0±0.0,0.0±0.0,225.2636112993482,1.6537646308983978
2CXO J104551.5-595651,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.386,0.327±0.462,0.0±0.0,0.375±0.442,0.001±0.001,0.025±0.025,161.46474042311684,-59.94755166370005
2CXO J010332.0-213958,YSO,Orion_V*,3,0.021±0.022,0.01±0.014,0.062±0.062,0.0±0.0,0.026±0.032,0.019±0.017,0.0±0.0,0.332±0.038,0.131±0.041,0.4±0.05,15.88335927447929,-21.6663173217331
2CXO J104552.2-595702,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.386,0.327±0.462,0.0±0.0,0.375±0.442,0.001±0.001,0.025±0.025,161.46791333079125,-59.95070489651913
