name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J123020.8+122248,QSO,AGN,2,0.447±0.447,0.498±0.498,0.053±0.053,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,187.58688793847463,12.380238844382957
2CXO J122946.7+080002,HMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,187.444882623711,8.000622407998144
2CXO J122946.8+075958,Seyfert_1,YSO,2,0.159±0.159,0.001±0.001,0.237±0.237,0.0±0.0,0.0±0.0,0.044±0.044,0.0±0.0,0.5±0.5,0.0±0.0,0.06±0.06,187.44527539889955,7.999467521029515
2CXO J122947.8+075200,TTau*,QSO,2,0.499±0.499,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.01,0.485±0.485,0.005±0.005,187.44920902153365,7.866746151481122
2CXO J132500.6+301955,HMXB,Orion_V*,2,0.0±0.0,0.19±0.19,0.005±0.005,0.0±0.0,0.299±0.299,0.0±0.0,0.0±0.0,0.004±0.004,0.0±0.0,0.501±0.499,201.2527874138027,30.33211273968832
2CXO J122954.3+075612,HMXB,QSO,2,0.431±0.38,0.064±0.056,0.097±0.081,0.008±0.008,0.241±0.241,0.08±0.08,0.078±0.078,0.0±0.0,0.001±0.001,0.001±0.001,187.47631716913747,7.936735739470736
2CXO J132500.5-425159,Orion_V*,AGN,2,0.003±0.003,0.495±0.494,0.001±0.001,0.0±0.0,0.002±0.001,0.0±0.0,0.011±0.011,0.0±0.0,0.0±0.0,0.488±0.488,201.2521244318691,-42.8665147391445
2CXO J132457.4-430534,YSO,AGN,2,0.034±0.034,0.455±0.455,0.0±0.0,0.0±0.0,0.003±0.003,0.001±0.001,0.0±0.0,0.424±0.424,0.01±0.009,0.073±0.073,201.23920364739504,-43.09277792991665
2CXO J053515.5-052246,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.8147243932404,-5.379496658011806
2CXO J053515.5-052218,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81488748448254,-5.3717745837167845
2CXO J180450.4-242043,Orion_V*,YSO,2,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.041±0.041,0.0±0.0,0.531±0.334,0.0±0.0,0.427±0.293,271.2100288563738,-24.34539192520185
2CXO J053513.8-052229,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.80788849030239,-5.374901796363746
2CXO J053513.7-052217,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.80734709196588,-5.371440370982506
2CXO J124000.0-113708,Seyfert_1,HMXB,2,0.018±0.013,0.107±0.086,0.257±0.185,0.079±0.022,0.278±0.044,0.099±0.06,0.16±0.037,0.001±0.001,0.0±0.0,0.0±0.0,190.000285810346,-11.619085679793104
2CXO J180946.7-233845,YSO,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.462±0.462,0.0±0.0,0.538±0.462,272.44472557323775,-23.646065383362213
2CXO J052901.6-392921,QSO,Seyfert_2,2,0.396±0.393,0.17±0.025,0.015±0.001,0.408±0.408,0.008±0.007,0.0±0.0,0.001±0.0,0.0±0.0,0.0±0.0,0.0±0.0,82.25683516547161,-39.48943558362716
2CXO J053513.6-052230,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.80704024444009,-5.37508897706319
2CXO J123617.4+255855,Orion_V*,QSO,2,0.398±0.346,0.056±0.049,0.124±0.124,0.01±0.01,0.092±0.092,0.0±0.0,0.0±0.0,0.095±0.095,0.002±0.002,0.222±0.222,189.07250810458947,25.982057323519005
2CXO J123513.0+620805,AGN,QSO,2,0.393±0.323,0.336±0.335,0.263±0.021,0.002±0.002,0.006±0.006,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,188.80445684581912,62.13473137146427
2CXO J053457.5-052346,YSO,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.49±0.14,0.011±0.01,0.499±0.15,83.7396162919,-5.396208928700002
2CXO J180629.1+454659,QSO,AGN,2,0.46±0.457,0.539±0.458,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,271.62127805980344,45.78329282960831
2CXO J123551.6+621757,Seyfert_1,HMXB,2,0.106±0.084,0.271±0.109,0.13±0.128,0.065±0.065,0.272±0.212,0.103±0.004,0.049±0.049,0.0±0.0,0.003±0.001,0.0±0.0,188.96540491992403,62.29928161632285
2CXO J123044.2+122134,QSO,Seyfert_1,2,0.353±0.084,0.202±0.126,0.436±0.208,0.0±0.0,0.001±0.001,0.0±0.0,0.007±0.004,0.0±0.0,0.001±0.001,0.0±0.0,187.68440141952283,12.359586057306757
2CXO J133652.3-295046,HMXB,LMXB,2,0.001±0.0,0.039±0.038,0.044±0.043,0.069±0.069,0.235±0.106,0.509±0.217,0.103±0.046,0.0±0.0,0.0±0.0,0.0±0.0,204.21808870223072,-29.846257061207087
2CXO J095934.4+020627,Seyfert_1,XB,2,0.078±0.019,0.171±0.057,0.17±0.117,0.088±0.058,0.135±0.064,0.166±0.043,0.192±0.009,0.0±0.0,0.0±0.0,0.0±0.0,149.893495560362,2.1075866044180693
2CXO J095816.1-110439,AGN,Orion_V*,2,0.115±0.11,0.276±0.111,0.026±0.026,0.016±0.013,0.146±0.062,0.068±0.014,0.016±0.001,0.031±0.031,0.02±0.02,0.286±0.286,149.56719769622725,-11.077505840853192
2CXO J160834.3-390619,YSO,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.397±0.396,0.05±0.041,0.553±0.437,242.1432909310916,-39.10532508438307
2CXO J095601.7+694308,LMXB,HMXB,2,0.026±0.026,0.201±0.2,0.0±0.0,0.004±0.004,0.414±0.387,0.309±0.213,0.046±0.046,0.0±0.0,0.0±0.0,0.0±0.0,149.00723387644484,69.7191311724322
2CXO J095550.7+694034,Orion_V*,QSO,2,0.5±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.009±0.009,0.0±0.0,0.0±0.0,0.158±0.158,0.0±0.0,0.333±0.333,148.96145220142944,69.67637295762545
2CXO J145307.1+580205,HMXB,AGN,2,0.046±0.028,0.466±0.211,0.051±0.05,0.003±0.0,0.307±0.179,0.025±0.018,0.062±0.052,0.002±0.002,0.024±0.024,0.013±0.013,223.27988556678795,58.034913267052175
2CXO J095549.8+694524,AGN,HMXB,2,0.066±0.063,0.333±0.186,0.009±0.009,0.01±0.01,0.415±0.242,0.133±0.066,0.034±0.034,0.0±0.0,0.0±0.0,0.0±0.0,148.95783565925603,69.75681419635526
2CXO J104646.6+123357,Seyfert_1,QSO,2,0.445±0.013,0.157±0.109,0.368±0.134,0.017±0.0,0.013±0.013,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,161.69448452709912,12.566088693548874
2CXO J104642.3-600904,Orion_V*,TTau*,2,0.0±0.0,0.001±0.0,0.0±0.0,0.001±0.001,0.143±0.135,0.003±0.003,0.0±0.0,0.119±0.029,0.448±0.361,0.285±0.194,161.67644808442094,-60.15115880045331
