,name,obsid,cluster,ra,dec,main_type,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*
13115,2CXO J202043.7+402700,3856,4,305.1821976801598,40.45009369872818,YSO,0.0,0.0,0.0,0.0,0.0004624939091962949,2.686220237337381e-25,0.0,0.9762466052385685,0.0038729013891842666,0.019417999463050867
13116,2CXO J202111.4+402804,3856,5,305.2975845121164,40.468036289682615,XB,4.8330275891617295e-33,1.4143469496441202e-60,3.372841583693234e-33,2.296222669837418e-87,2.8159374925945004e-16,4.9226051244811565e-14,0.9999999636562704,3.6331987422905204e-08,1.1457757257638967e-11,2.3520423598195714e-13
13117,2CXO J202111.4+402804,11235,0,305.2975845121164,40.468036289682615,YSO,3.8840044083052774e-152,1.3085838302992113e-87,8.606180488474428e-102,0.0,0.006352823530887602,2.883933700406465e-21,3.5161686245789605e-238,0.9676631716925682,0.01997700175577002,0.006007003020774259
13118,2CXO J202130.7+402646,11235,3,305.3780492829352,40.44614529189695,LMXB,5.097022404683907e-49,7.593327324809682e-11,2.774202707353348e-47,3.0006684670164845e-29,8.626992286870595e-59,0.9999999644717009,0.0,3.5452309644055995e-08,9.285088745285012e-47,5.600186758872273e-14
13119,2CXO J202137.5+402958,11235,4,305.4065516356752,40.49950152348087,YSO,0.0,0.0,0.0,0.0,0.09893053176445069,4.450274939357307e-16,0.0,0.865613973944194,0.00023650141229656076,0.03521899287905832
13120,2CXO J202141.6+371845,9914,4,305.423651896102,37.31263862315309,YSO,0.0,0.0,0.0,0.0,0.00021489022612630054,6.567462195330049e-09,0.0,0.6350119470755338,0.16126581737765883,0.2035073387532189
13121,2CXO J202202.2+384120,5586,4,305.50943144607106,38.68915863872878,YSO,0.0,0.0,0.0,0.0,0.0005893333787587926,2.55251475749315e-12,0.0,0.9994106443506894,1.0742004611077932e-13,2.2267891987433975e-08
13122,2CXO J202223.4+095916,13889,0,305.5978392462986,9.987979005251267,HMXB,7.998607475759944e-08,3.9129724728990225e-60,0.02870874706799091,0.0,0.9208171477908558,1.2924056407217513e-08,3.1419825883144393e-14,0.004653060654617853,0.020112857609721344,0.025708093966651472
13123,2CXO J202315.9+384708,5586,3,305.8165878382757,38.78577051599735,Orion_V*,1.4092398504854568e-05,0.16451638738362495,2.200492861895309e-08,4.0130766663506377e-29,1.8443289902002744e-23,5.344472596048434e-12,1.5762603022438072e-129,3.631303161896756e-17,4.33508072710914e-20,0.8354694982075971
13124,2CXO J202316.8+384254,5586,4,305.82036424748696,38.71527073656487,YSO,0.0,0.0,0.0,0.0,5.7729273092956325e-08,5.505545847512284e-10,0.0,0.8327717561245257,0.07455440881371456,0.09267377678193207
13125,2CXO J202358.6-553143,15108,2,305.99417013588106,-55.52862118775143,QSO,0.39667213978289184,0.34263755476890384,0.21340825967973354,1.5861577678797337e-06,0.022170749277580254,0.016569296043785958,0.008233829781579558,1.2762655333569502e-06,0.0003046634067661597,6.448354575116451e-07
13126,2CXO J202707.3+371904,1893,3,306.78055861007056,37.31796835859217,AGN,1.6508302839285816e-05,0.9999829046376502,5.847074629083375e-07,2.352047691894299e-09,8.689204820639273e-69,3.237514985863421e-46,0.0,2.1701140872748706e-111,1.653472052787025e-137,1.4651198385586756e-34
13127,2CXO J202717.7+373024,1893,4,306.82376411849555,37.506743993236086,YSO,0.0,0.0,0.0,0.0,5.062087105129908e-06,1.1950755997408016e-18,0.0,0.7855742959891477,0.174297657300549,0.04012298462319819
13128,2CXO J202728.7+371945,1893,4,306.8699666068883,37.3292348651204,TTau*,0.0,0.0,0.0,0.0,3.176039070800861e-20,3.555681804613458e-23,0.0,0.00622561375932221,0.9937742376496531,1.4859102460662495e-07
13129,2CXO J203015.6+400030,6442,4,307.565032774628,40.00855541929152,YSO,0.0,0.0,0.0,0.0,0.0207327517266665,0.0012161309380588354,0.0,0.9750962623922537,6.774706324881063e-06,0.0029480802366961393
13130,2CXO J203040.5+411633,10942,5,307.6687861645444,41.27602337940811,YSO,1.3902931336679535e-21,6.6945568127745e-17,2.6433385402156074e-13,1.1672492714331175e-12,0.014670269810428588,0.0006946034250816253,2.262374152106258e-43,0.9712230000545792,3.2984933238199934e-06,0.013408828215155212
13131,2CXO J203137.2+412335,10962,0,307.905268268333,41.39331360054193,HMXB,0.0,8.216551311912248e-178,0.0,0.0,0.5728657960716997,2.7170065854322612e-15,0.0,0.42713417551277144,2.8406658923944036e-08,8.867208673889635e-12
13132,2CXO J203137.6+411313,10942,2,307.9069944563869,41.220408402381686,YSO,4.020280163050442e-42,3.078738290068164e-20,2.4331309307669183e-38,3.369282049914949e-30,3.062414595478596e-07,4.5296624809056605e-14,2.2486381379974466e-21,0.7043636923725506,6.50351886264986e-07,0.2956353510340582
13133,2CXO J203137.6+411313,10953,0,307.9069944563869,41.220408402381686,YSO,6.195304346280447e-78,0.0,8.759723750437144e-203,0.0,4.670420527006123e-31,4.934898511720518e-10,0.0,0.9999999995056544,1.252512557616275e-47,8.555819605699752e-13
13134,2CXO J203145.1+411833,10940,3,307.93816607261647,41.30925142373256,LMXB,1.8651510356068825e-13,1.4758931550942127e-07,2.2016733574993072e-12,6.112924943594501e-23,2.9151031183393453e-10,0.9858032797314878,3.749243331009206e-166,0.007654267420194051,8.784758961458774e-15,0.006542304965095399
13135,2CXO J203145.3+411826,10940,3,307.93911875986555,41.30749594128056,LMXB,1.8651510356068825e-13,1.4758931550942127e-07,2.2016733574993072e-12,6.112924943594501e-23,2.9151031183393453e-10,0.9858032797314878,3.749243331009206e-166,0.007654267420194051,8.784758961458774e-15,0.006542304965095399
13136,2CXO J203145.4+411841,10940,3,307.93936096186815,41.31165209581727,LMXB,1.8651510356068825e-13,1.4758931550942127e-07,2.2016733574993072e-12,6.112924943594501e-23,2.9151031183393453e-10,0.9858032797314878,3.749243331009206e-166,0.007654267420194051,8.784758961458774e-15,0.006542304965095399
13137,2CXO J203150.7+400956,12390,4,307.9614645982956,40.16582619034092,TTau*,0.0,0.0,0.0,0.0,0.015658682232029777,4.220473777497509e-25,0.0,0.34223574388638694,0.5146992084458368,0.1274063654357465
13138,2CXO J203151.0+412312,10958,0,307.96256891779024,41.38675977250706,YSO,6.403130853259043e-21,9.192559515116646e-19,1.7584371362875698e-09,7.746321676666607e-262,9.214407720387806e-05,2.3930121434234118e-06,2.9690672563216443e-164,0.5874586559265655,0.14148437462580105,0.27096243059984887
13139,2CXO J203151.3+412323,4501,5,307.963879219302,41.38983921327145,YSO,1.7435676626293032e-33,2.389967513873665e-71,1.106044386672637e-60,2.997989523509831e-70,4.068382944426358e-08,0.014963106799376215,4.7412917930378905e-49,0.9384761070722147,0.001794418048029672,0.04476632739654996
13140,2CXO J203151.3+412323,10942,4,307.963879219302,41.38983921327145,TTau*,0.0,0.0,0.0,0.0,0.01029975045005544,6.335292637234027e-35,0.0,4.0862522151319005e-05,0.9640785478182988,0.025580839209494447
13141,2CXO J203151.3+412323,10944,5,307.963879219302,41.38983921327145,TTau*,0.005723118465245983,1.7813783650852459e-07,0.009024894760652392,0.0006461149456677484,0.0036390590668376704,0.026373313220391256,2.1242440160290138e-06,0.004520950427448796,0.9488824537835361,0.0011877929483675507
13142,2CXO J203151.3+412323,10951,5,307.963879219302,41.38983921327145,TTau*,4.3355363947997295e-06,7.880682102762296e-12,0.0037718697564141823,4.973639904531398e-24,1.1562590358762122e-06,0.00016377670039407753,8.254897756772328e-14,0.004156975965319733,0.9908656242042718,0.0010362615702064512
13143,2CXO J203151.3+412323,10952,0,307.963879219302,41.38983921327145,Orion_V*,3.3314542923441416e-59,4.053186155784373e-33,1.1965037601938258e-33,0.0,1.8764270009772497e-05,1.2374674366391089e-06,0.0,0.059299927918930614,0.41947565816605337,0.5212044121775697
13144,2CXO J203151.3+412323,10958,0,307.963879219302,41.38983921327145,YSO,6.403130853259043e-21,9.192559515116646e-19,1.7584371362875698e-09,7.746321676666607e-262,9.214407720387806e-05,2.3930121434234118e-06,2.9690672563216443e-164,0.5874586559265655,0.14148437462580105,0.27096243059984887
13145,2CXO J203156.4+413722,4501,3,307.9851773484916,41.62294829731125,LMXB,4.6592678624698764e-26,0.42036514415250675,0.046525806967358044,0.07459510802253323,0.01816014451557548,0.43976032401577236,1.0405070586953846e-83,8.730907919935002e-06,0.0005846644876217796,7.693071244282885e-08
13146,2CXO J203205.4+405950,10939,4,308.0226940714938,40.99727902807799,YSO,0.0,0.0,0.0,0.0,5.589748616235836e-07,2.375785937321294e-08,0.0,0.9744530787488758,0.010820424943172145,0.014725913575231063
13147,2CXO J203211.3+412452,4501,4,308.04734940832304,41.41456575323063,YSO,0.0,0.0,0.0,0.0,0.00198915254810868,1.175764250206086e-11,0.0,0.697629643100301,0.005707473545990096,0.29467373079384257
13148,2CXO J203212.7+412951,4501,4,308.0532220708483,41.49750518524641,YSO,0.0,0.0,0.0,0.0,0.007963728499145251,2.010129035142974e-05,0.0,0.4929566670575821,0.07286894980887357,0.42619055334404765
13149,2CXO J203213.0+411220,10940,4,308.0544430944483,41.20566496740121,YSO,0.0,0.0,0.0,0.0,2.4169467733450336e-06,0.0004673162852725701,0.0,0.9531547439306663,0.002999638058608377,0.04337588477867932
13150,2CXO J203213.5+412711,10941,2,308.0563272097967,41.45330862889372,AGN,0.0037584034380987444,0.8115792312260907,0.026706856866925623,1.5489112823533116e-05,0.15648749893122735,2.5734768212569754e-05,0.00015279556186802553,3.3982730113158185e-05,0.00039063856989844485,0.0008493687947418424
13151,2CXO J203213.5+412711,10962,4,308.0563272097967,41.45330862889372,Orion_V*,0.0,0.0,0.0,0.0,0.0,5.277783933891689e-20,0.0,3.0192327750322187e-07,2.0703505559519245e-49,0.9999996980767225
13152,2CXO J203213.8+412711,4501,0,308.05767482334863,41.45329027236805,LMXB,1.6833251785483955e-86,1.913855869014237e-296,1.1284230826843582e-190,5.853209976312348e-153,1.3993295701758738e-08,0.5884581760357626,0.0,0.4115418099709419,8.866428690698296e-38,3.853599519724562e-23
13153,2CXO J203213.8+412711,10941,2,308.05767482334863,41.45329027236805,AGN,0.0037584034380987444,0.8115792312260907,0.026706856866925623,1.5489112823533116e-05,0.15648749893122735,2.5734768212569754e-05,0.00015279556186802553,3.3982730113158185e-05,0.00039063856989844485,0.0008493687947418424
13154,2CXO J203213.8+412711,10962,4,308.05767482334863,41.45329027236805,Orion_V*,0.0,0.0,0.0,0.0,0.0,5.277783933891689e-20,0.0,3.0192327750322187e-07,2.0703505559519245e-49,0.9999996980767225
13155,2CXO J203213.8+412741,10941,2,308.0576180229368,41.4615705476977,AGN,0.0037584034380987444,0.8115792312260907,0.026706856866925623,1.5489112823533116e-05,0.15648749893122735,2.5734768212569754e-05,0.00015279556186802553,3.3982730113158185e-05,0.00039063856989844485,0.0008493687947418424
13156,2CXO J203214.7+412739,10941,2,308.0612917624012,41.461002709810685,AGN,0.0037584034380987444,0.8115792312260907,0.026706856866925623,1.5489112823533116e-05,0.15648749893122735,2.5734768212569754e-05,0.00015279556186802553,3.3982730113158185e-05,0.00039063856989844485,0.0008493687947418424
13157,2CXO J203215.4+402327,12390,4,308.064307264738,40.39109832206886,YSO,0.0,0.0,0.0,0.0,1.2221653648583615e-07,1.7253467836699359e-09,0.0,0.4501634409549922,0.21233276294637327,0.33750367215675114
13158,2CXO J203218.3+411924,10958,5,308.0764978237064,41.32354120011128,YSO,3.9010755321079276e-08,1.97583242610723e-09,4.338311442854653e-05,2.0456929880379104e-13,0.35535772759548145,0.037393835899449335,1.4114237273349767e-17,0.4708031607642304,4.1078515503250474e-05,0.1363607731241148
13159,2CXO J203222.8+411627,4501,2,308.0950795464107,41.274392882590384,Orion_V*,1.2426789645798256e-15,3.651430234990181e-07,4.346156289423249e-22,1.696942712186591e-16,0.011134296179539493,1.0221879212636503e-09,9.045830202358096e-11,0.13344141509256316,1.8314507684362096e-06,0.8554220910214577
13160,2CXO J203224.7+411629,4501,2,308.10299128120914,41.274845084098445,Orion_V*,1.2426789645798256e-15,3.651430234990181e-07,4.346156289423249e-22,1.696942712186591e-16,0.011134296179539493,1.0221879212636503e-09,9.045830202358096e-11,0.13344141509256316,1.8314507684362096e-06,0.8554220910214577
13161,2CXO J203225.7+405728,10939,4,308.10739411640225,40.95784441350956,HMXB,0.0,0.0,0.0,0.0,1.0,6.247413940037828e-237,0.0,4.635723237478398e-37,1.8159110682913795e-46,1.1843141701107173e-44
13162,2CXO J203225.7+405728,10969,3,308.10739411640225,40.95784441350956,Seyfert_2,0.0,4.2679607858660807e-73,6.453490982201932e-233,1.0,0.0,0.0,0.0,0.0,0.0,0.0
